address,databaseID,price,bedrooms,bathroom,sqft,zip,lat,lng,ancherRating,jamesRating
113-Charles-St-Lumberton-NC-28358,5e79a8f11f19d194c8a02340,122500,4,2,729,28358,34.6268653,-79.0112849,medium,medium
437-Mercer-Mill-Rd-Lumberton-NC-28358,5e9d80e4590ccc52909b8ce3,100000,3,2,1218,28358,34.6204845,-78.8788012,medium,medium
13096-SW-144th-Pkwy-Okeechobee-FL-34974,5e7a3b9a1f19d194c8a025b2,294000,3,2,1431,34974,27.2273975,-80.9642467,rich,unsure
1002-James-St-Lumberton-NC-28358,5e9d7f3b590ccc52909b8cdc,89900,3,1,1822,28358,34.627327,-79.014584,poor,poor
980-SE-23rd-St-Okeechobee-FL-34974,5e7a33901f19d194c8a0258b,289000,3,2,1752,34974,27.2226304,-80.8185524,rich,rich
761-Derwood-Rd-Lumberton-NC-28358,5e79a2901f19d194c8a02324,79000,3,2,1676,28358,34.587661,-78.932855,poor,unsure
100-W-24th-St-APT-5-Lumberton-NC-28358,5e79a3291f19d194c8a02328,79000,2,1,1200,28358,34.634438,-79.008687,poor,unsure
519-E-18th-St-Lumberton-NC-28358,5e79a8161f19d194c8a0233c,70000,3,1,1375,28358,34.6298325,-79.0011716,poor,unsure
3707-Cliffridge-Dr-APT-4-Lumberton-NC-28358,5e79ad201f19d194c8a0234f,64900,2,2,1020,28358,34.6431024,-78.9920098,poor,poor
451959-Point-O-Woods-Afton-OK-74331,5e7cda3dccaa4a3ba0beb7b6,645000,4,4,3075,74331,36.5424602,-94.9554574,rich,rich
63-Mckinnon-Rollin-Rd-Lumberton-NC-28358,5e79a8881f19d194c8a0233e,49500,3,1,864,28358,34.586449,-78.898467,poor,poor
528-Mcneill-St-Lumberton-NC-28358,5e79a7b31f19d194c8a0233a,46900,2,1,1056,28358,34.6198111,-78.9928682,unsure,unsure
1100-Belcher-Rd-S-LOT-102-Largo-FL-33771,5e766cdd9d58b73c345e6400,55000,2,2,1060,33771,27.9057613,-82.750669,useless,useless
2000-E-Bay-Dr-LOT-128-Largo-FL-33771,5e766c779d58b73c345e63fd,47900,1,1,672,33771,27.9187643,-82.7670331,medium,poor
1071-Donegan-Rd-LOT-217-Largo-FL-33771,5e767f879d58b73c345e6460,44900,2,2,1096,33771,27.9074408,-82.7781223,medium,medium
451545-Gyrfalcon-Cir-Afton-OK-74331,5e7ce033ccaa4a3ba0beb7d8,645000,4,4,3005,74331,36.5210391,-94.9618477,rich,rich
1227-Ocean-Blvd-W-Holden-Beach-NC-28462,5e785a5bcada5e0850064a0b,1545000,10,12,4700,28462,33.904227,-78.360928,rich,rich
56680-E-310-Rd-UNIT-29-Afton-OK-74331,5e7ce3c6ccaa4a3ba0beb7e9,639000,4,4,2450,74331,36.567569,-94.854296,rich,rich
